2023-08-18 06:46:00,263 INFO  c.c.e.component.MariaDBAppender - [getlog]HikariPool-1 - Starting...
2023-08-18 06:46:00,303 INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.mariadb.jdbc.Connection@76134b9b
2023-08-18 06:46:00,303 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:46:00,303 INFO  c.c.e.component.MariaDBAppender - [getlog]HikariPool-1 - Added connection org.mariadb.jdbc.Connection@76134b9b
2023-08-18 06:46:00,304 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-08-18 06:46:00,304 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:46:00,304 INFO  c.c.e.component.MariaDBAppender - [getlog]HikariPool-1 - Start completed.
2023-08-18 06:46:00,449 INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2023-08-18 06:46:00,449 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:46:00,449 INFO  c.c.e.component.MariaDBAppender - [getlog]HHH000021: Bytecode provider name : bytebuddy
2023-08-18 06:46:00,826 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-08-18 06:46:00,826 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:46:00,826 INFO  c.c.e.component.MariaDBAppender - [getlog]HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-08-18 06:46:01,486 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-08-18 06:46:01,486 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:46:01,486 INFO  c.c.e.component.MariaDBAppender - [getlog]Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-08-18 06:46:01,673 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] set log
2023-08-18 06:46:01,673 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:46:01,673 INFO  c.c.e.component.MariaDBAppender - [getlog][MariaDBAppender] set log
2023-08-18 06:46:02,086 INFO  o.s.d.j.r.q.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2023-08-18 06:46:02,086 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:46:02,086 INFO  c.c.e.component.MariaDBAppender - [getlog]Hibernate is in classpath; If applicable, HQL parser will be used.
2023-08-18 06:46:02,337 INFO  c.c.e.config.CorsConfig - ===== CorsFilter 적용 =====
2023-08-18 06:46:02,338 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:46:02,338 INFO  c.c.e.component.MariaDBAppender - [getlog]===== CorsFilter 적용 =====
